"Created Date","Record Number","Record Type","Status","Address","Property/Project Name","Description","Expiration Date",
"03/01/2024","SDOTTREE0006743","Tree - Plant/Prune/Remove","In Process","9908    BEACON  AVE  S  SEATTLE","Van Biber - 9908 Beacon Ave S - Remove/Replace","Existing house. Remove declining Red Alder and Laurel bushes in planting strip on East side of Beacon Ave S at 9908 Beacon Ave S. Grind stumps to 18 inch depth. Replant with similar large tree, 2-3 small shrubs (not laurels) and flowers. Tree removal scheduled for 16 May 2024. Tree replacement to follow soon after. Work Order 1063032 - Anne Freudenthal",,
"03/01/2024","SDOTTREE0006744","Tree - Plant/Prune/Remove","Initiated","4319    32ND  AVE  W  SEATTLE","Clifford - 4319 32nd Ave W - 19394","Pruning Objective:To mitigate potential safety hazards while retaining as much live canopy as possible.Pruning Specification:One Paper Birch (Betula papyifera) tree located in the planting stripDSH: 30.8"" (TRE-13489)-Selective removal or reduction of dead leads in upper canopy-Pruning cuts to be proper removal or reduction cuts ranging from 1 to 8” diameter-Dead branches below 2” diameter to remain unless otherwise specifiedPruning will follow ANSI A300. Arborists adhering to the ANSI A300 pruning standard will not: leave branch stubs, make unnecessary heading cuts, cut into branch collars, top or lion's tail trees, or remove more than 25% live foliage within the entire tree or off a single branch.",,
"03/01/2024","SDOTTREE0006745","Tree - Plant/Prune/Remove","Initiated","1120   NW  61ST  ST   SEATTLE","1120 NW 61st St_CA","Conceptual approval",,
"03/01/2024","SDOTTREE0006746","Tree - Plant/Prune/Remove","Initiated","302   NW  40TH  ST   SEATTLE","Tree pruning","302 nw 40th st",,
"02/29/2024","SDOTTREE0006736","Tree - Plant/Prune/Remove","Initiated","5435    36TH  AVE  SW  SEATTLE","Argana Residence","New single-family residence - existing house to be demo'd. One small existing tree in front yard, no trees in back yard. Proposing to plant (4) Pacific Dogwood trees, 3 caliper inches each, in parking strip.",,
"02/29/2024","SDOTTREE0006737","Tree - Plant/Prune/Remove","Initiated","7530    30TH  AVE  NW  SEATTLE","OA 30th P+A+D Street Tree","Plant two Street Trees in conjunction with CN application 7004082-CN",,
"02/29/2024","SDOTTREE0006738","Tree - Plant/Prune/Remove","Initiated","531    FEDERAL  AVE  E  SEATTLE","531 FEDERAL AVE E","TWO NEW TOWN HOMES WITH EXISTING DUPLEX",,
"02/29/2024","SDOTTREE0006739","Tree - Plant/Prune/Remove","Initiated","1615   N  50TH  ST   SEATTLE","1615 N 50TH ST","5 NEW TOWNHOUSE UNITS WITH PARKING",,
"02/29/2024","SDOTTREE0006309-A001","Trees - Revision Amendment","Initiated","3524    WEST LAURELHURST  DR  NE  SEATTLE","Tasinga - 3524 W Laurelhurst Dr - Remove & Grind (3) , Replant (3)","Remove three dead/declining trees (#8009, #8010, #8011) located in the ROW along 45th on the W side of the street. Grind stumps below grade to allow for future replanting. Prior to grinding perform an 811 locate to mark all underground utilities. TSP/Applicant is required to post a yellow tree removal notice on the tree in a position visible to the public 14 days in advance of the tree removal.Planting: Within one year of issuance plant 3 suitable replacement tree in the ROW. SDOT SPACING STANDARDS: street trees shall be planted according to the following guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from streetlights and other existing trees, 30 feet from street intersections (avoid driver sightline issues). GENERAL PLANTING SPECIFICATIONS: Species to be planted shall be selected from the approved street tree list & shall be suitable for the site conditions. Planting shall adhere to spacing guidelines. Prior to planting perform an 811 locate to mark all underground utilities. _____________________________________________Additional Info Provided By Applicant: There are three trees located behind the residence on 45th Ave NE in the right of way that are in poor health and/or poor condition.  The client is requesting removal prior to new single family residential development.  Trees include tag #8010 cherry = 13"" DSH, tag #8009 Lawson cypress =28"" DSH, tag#8011 hawthorn = 12"" DSH.",,
"02/29/2024","SDOTTREE0006740","Tree - Plant/Prune/Remove","In Process","3080   S  ANDOVER  ST   SEATTLE","Price - 3080 S Andover St - Removal","TRE-1146292 is a ~80 foot pine. Over the last couple of months, it has been turning brown and losing all needles from the top down. It has already dropped one 5"" diameter limb, and I am concerned that more are coming soon either on our house or neighbors/cars. There is a madrone underneath that will be the successor tree in that spot. I would like to remove the large pine as soon as possible, so there is more time for the madrone to get used to not having the pine before the heat of summer (I am concerned that if I wait to remove the pine until summer, the madrone will get shocked in the hot weather.). There is no sidewalk under this tree.",,
